Country,date,vaccine,total
Argentina,2021-10-15,Pfizer/BioNTech,1636
Argentina,2021-10-15,Sinopharm/Beijing,1637
Argentina,2021-10-15,Sputnik V,1638
Argentina,2021-10-16,CanSino,1639
Argentina,2021-10-16,Moderna,1640
Argentina,2021-10-16,Oxford/AstraZeneca,1641
Argentina,2021-10-16,Pfizer/BioNTech,1642
Argentina,2021-10-16,Sinopharm/Beijing,1643
Argentina,2021-10-16,Sputnik V,1644
Argentina,2021-10-17,CanSino,1645
Argentina,2021-10-17,Moderna,1646
Argentina,2021-10-17,Oxford/AstraZeneca,1647
Argentina,2021-10-17,Pfizer/BioNTech,1648
Argentina,2021-10-17,Sinopharm/Beijing,1649
Argentina,2021-10-17,Sputnik V,1650
Argentina,2021-10-18,CanSino,1651
Argentina,2021-10-18,Moderna,1652
Argentina,2021-10-18,Oxford/AstraZeneca,1653
Argentina,2021-10-18,Pfizer/BioNTech,1654
Argentina,2021-10-18,Sinopharm/Beijing,1655
Argentina,2021-10-18,Sputnik V,1656
Argentina,2021-10-19,CanSino,1657
Argentina,2021-10-19,Moderna,1658
Argentina,2021-10-19,Oxford/AstraZeneca,1659
Argentina,2021-10-19,Pfizer/BioNTech,1660
Argentina,2021-10-19,Sinopharm/Beijing,1661
Argentina,2021-10-19,Sputnik V,1662
Argentina,2021-10-20,CanSino,1663
Argentina,2021-10-20,Moderna,1664
Argentina,2021-10-20,Oxford/AstraZeneca,1665
Argentina,2021-10-20,Pfizer/BioNTech,1666
Argentina,2021-10-20,Sinopharm/Beijing,1667
Argentina,2021-10-20,Sputnik V,1668
Argentina,2021-10-21,CanSino,1669
Argentina,2021-10-21,Moderna,1670
Argentina,2021-10-21,Oxford/AstraZeneca,1671
Argentina,2021-10-21,Pfizer/BioNTech,1672
Argentina,2021-10-21,Sinopharm/Beijing,1673
Argentina,2021-10-21,Sputnik V,1674
Argentina,2021-10-22,CanSino,1675
Argentina,2021-10-22,Moderna,1676
Argentina,2021-10-22,Oxford/AstraZeneca,1677
Argentina,2021-10-22,Pfizer/BioNTech,1678
Argentina,2021-10-22,Sinopharm/Beijing,1679
Argentina,2021-10-22,Sputnik V,1680
Argentina,2021-10-23,CanSino,1681
Argentina,2021-10-23,Moderna,1682
Argentina,2021-10-23,Oxford/AstraZeneca,1683
Argentina,2021-10-23,Pfizer/BioNTech,1684
Argentina,2021-10-23,Sinopharm/Beijing,1685
Argentina,2021-10-23,Sputnik V,1686
Argentina,2021-10-24,CanSino,1687
Argentina,2021-10-24,Moderna,1688
Argentina,2021-10-24,Oxford/AstraZeneca,1689
Argentina,2021-10-24,Pfizer/BioNTech,1690
Argentina,2021-10-24,Sinopharm/Beijing,1691
Argentina,2021-10-24,Sputnik V,1692
Argentina,2021-10-25,CanSino,1693
Argentina,2021-10-25,Moderna,1694
Argentina,2021-10-25,Oxford/AstraZeneca,1695
Argentina,2021-10-25,Pfizer/BioNTech,1696
Argentina,2021-10-25,Sinopharm/Beijing,1697
Argentina,2021-10-25,Sputnik V,1698
Argentina,2021-10-26,CanSino,1699
Argentina,2021-10-26,Moderna,1700
Argentina,2021-10-26,Oxford/AstraZeneca,1701
Argentina,2021-10-26,Pfizer/BioNTech,1702
Argentina,2021-10-26,Sinopharm/Beijing,1703
Argentina,2021-10-26,Sputnik V,1704
Argentina,2021-10-27,CanSino,1705
Argentina,2021-10-27,Moderna,1706
Argentina,2021-10-27,Oxford/AstraZeneca,1707
Argentina,2021-10-27,Pfizer/BioNTech,1708
Argentina,2021-10-27,Sinopharm/Beijing,1709
Argentina,2021-10-27,Sputnik V,1710
Argentina,2021-10-28,CanSino,1711
Argentina,2021-10-28,Moderna,1712
Argentina,2021-10-28,Oxford/AstraZeneca,1713
Argentina,2021-10-28,Pfizer/BioNTech,1714
Argentina,2021-10-28,Sinopharm/Beijing,1715
Argentina,2021-10-28,Sputnik V,1716
Argentina,2021-10-29,CanSino,1717
Argentina,2021-10-29,Moderna,1718
Argentina,2021-10-29,Oxford/AstraZeneca,1719
Argentina,2021-10-29,Pfizer/BioNTech,1720
Argentina,2021-10-29,Sinopharm/Beijing,1721
Argentina,2021-10-29,Sputnik V,1722
Argentina,2021-10-30,CanSino,1723
Argentina,2021-10-30,Moderna,1724
Argentina,2021-10-30,Oxford/AstraZeneca,1725
Argentina,2021-10-30,Pfizer/BioNTech,1726
Argentina,2021-10-30,Sinopharm/Beijing,1727
Argentina,2021-10-30,Sputnik V,1728
Argentina,2021-10-31,CanSino,1729
Argentina,2021-10-31,Moderna,1730
Argentina,2021-10-31,Oxford/AstraZeneca,1731
Argentina,2021-09-15,Sinopharm/Beijing,1457
Argentina,2021-09-15,Sputnik V,1458
Argentina,2021-09-16,CanSino,1459
Argentina,2021-09-16,Moderna,1460
Argentina,2021-09-16,Oxford/AstraZeneca,1461
Argentina,2021-09-16,Pfizer/BioNTech,1462
Argentina,2021-09-16,Sinopharm/Beijing,1463
Argentina,2021-09-16,Sputnik V,1464
Argentina,2021-09-17,CanSino,1465
Argentina,2021-09-17,Moderna,1466
Argentina,2021-09-17,Oxford/AstraZeneca,1467
Argentina,2021-09-17,Pfizer/BioNTech,1468
Argentina,2021-09-17,Sinopharm/Beijing,1469
Argentina,2021-09-17,Sputnik V,1470
Argentina,2021-09-18,CanSino,1471
Argentina,2021-09-18,Moderna,1472
Argentina,2021-09-18,Oxford/AstraZeneca,1473
Argentina,2021-09-18,Pfizer/BioNTech,1474
Argentina,2021-09-18,Sinopharm/Beijing,1475
Argentina,2021-09-18,Sputnik V,1476
Argentina,2021-09-19,CanSino,1477
Argentina,2021-09-19,Moderna,1478
Argentina,2021-09-19,Oxford/AstraZeneca,1479
Argentina,2021-09-19,Pfizer/BioNTech,1480
Argentina,2021-09-19,Sinopharm/Beijing,1481
Argentina,2021-09-19,Sputnik V,1482
Argentina,2021-09-20,CanSino,1483
Argentina,2021-09-20,Moderna,1484
Argentina,2021-09-20,Oxford/AstraZeneca,1485
Argentina,2021-09-20,Pfizer/BioNTech,1486
Argentina,2021-09-20,Sinopharm/Beijing,1487
Argentina,2021-09-20,Sputnik V,1488
Argentina,2021-09-21,CanSino,1489
Argentina,2021-09-21,Moderna,1490
Argentina,2021-09-21,Oxford/AstraZeneca,1491
Argentina,2021-09-21,Pfizer/BioNTech,1492
Argentina,2021-09-21,Sinopharm/Beijing,1493
Argentina,2021-09-21,Sputnik V,1494
Argentina,2021-09-22,CanSino,1495
Argentina,2021-09-22,Moderna,1496
Argentina,2021-09-22,Oxford/AstraZeneca,1497
Argentina,2021-09-22,Pfizer/BioNTech,1498
Argentina,2021-09-22,Sinopharm/Beijing,1499
Argentina,2021-09-22,Sputnik V,1500
Argentina,2021-09-23,CanSino,1501
Argentina,2021-09-23,Moderna,1502
Argentina,2021-09-23,Oxford/AstraZeneca,1503
Argentina,2021-09-23,Pfizer/BioNTech,1504
Argentina,2021-09-23,Sinopharm/Beijing,1505
Argentina,2021-09-23,Sputnik V,1506
Argentina,2021-09-24,CanSino,1507
Argentina,2021-09-24,Moderna,1508
Argentina,2021-09-24,Oxford/AstraZeneca,1509
Argentina,2021-09-24,Pfizer/BioNTech,1510
Argentina,2021-09-24,Sinopharm/Beijing,1511
Argentina,2021-09-24,Sputnik V,1512
Argentina,2021-09-25,CanSino,1513
Argentina,2021-09-25,Moderna,1514
Argentina,2021-09-25,Oxford/AstraZeneca,1515
Argentina,2021-09-25,Pfizer/BioNTech,1516
Argentina,2021-09-25,Sinopharm/Beijing,1517
Argentina,2021-09-25,Sputnik V,1518
Argentina,2021-09-26,CanSino,1519
Argentina,2021-09-26,Moderna,1520
Argentina,2021-09-26,Oxford/AstraZeneca,1521
Argentina,2021-09-26,Pfizer/BioNTech,1522
Argentina,2021-09-26,Sinopharm/Beijing,1523
Argentina,2021-09-26,Sputnik V,1524
Argentina,2021-09-27,CanSino,1525
Argentina,2021-09-27,Moderna,1526
Argentina,2021-09-27,Oxford/AstraZeneca,1527
Argentina,2021-09-27,Pfizer/BioNTech,1528
Argentina,2021-09-27,Sinopharm/Beijing,1529
Argentina,2021-09-27,Sputnik V,1530
Argentina,2021-09-28,CanSino,1531
Argentina,2021-09-28,Moderna,1532
Argentina,2021-09-28,Oxford/AstraZeneca,1533
Argentina,2021-09-28,Pfizer/BioNTech,1534
Argentina,2021-09-28,Sinopharm/Beijing,1535
Argentina,2021-09-28,Sputnik V,1536
Argentina,2021-09-29,CanSino,1537
Argentina,2021-09-29,Moderna,1538
Argentina,2021-09-29,Oxford/AstraZeneca,1539
Argentina,2021-09-29,Pfizer/BioNTech,1540
Argentina,2021-09-29,Sinopharm/Beijing,1541
Argentina,2021-09-29,Sputnik V,1542
Argentina,2021-09-30,CanSino,1543
Argentina,2021-09-30,Moderna,1544
Argentina,2021-09-30,Oxford/AstraZeneca,1545
Argentina,2021-09-30,Pfizer/BioNTech,1546
Argentina,2021-09-30,Sinopharm/Beijing,1547
Argentina,2021-09-30,Sputnik V,1548
Argentina,2021-10-01,CanSino,1549
Argentina,2021-10-01,Moderna,1550
Argentina,2021-10-01,Oxford/AstraZeneca,1551
Argentina,2021-10-01,Pfizer/BioNTech,1552
Argentina,2021-10-01,Sinopharm/Beijing,1553
Argentina,2021-10-01,Sputnik V,1554
Argentina,2021-10-02,CanSino,1555
Argentina,2021-10-02,Moderna,1556
Argentina,2021-10-02,Oxford/AstraZeneca,1557
Argentina,2021-10-02,Pfizer/BioNTech,1558
Argentina,2021-10-02,Sinopharm/Beijing,1559
Argentina,2021-10-02,Sputnik V,1560
Argentina,2021-10-03,CanSino,1561
Argentina,2021-10-03,Moderna,1562
Argentina,2021-10-03,Oxford/AstraZeneca,1563
Argentina,2021-10-03,Pfizer/BioNTech,1564
Argentina,2021-10-03,Sinopharm/Beijing,1565
Argentina,2021-10-03,Sputnik V,1566
Argentina,2021-10-04,CanSino,1567
Argentina,2021-10-04,Moderna,1568
Argentina,2021-10-04,Oxford/AstraZeneca,1569
Argentina,2021-10-04,Pfizer/BioNTech,1570
Argentina,2021-10-04,Sinopharm/Beijing,1571
Argentina,2021-10-04,Sputnik V,1572
Argentina,2021-10-05,CanSino,1573
Argentina,2021-10-05,Moderna,1574
Argentina,2021-10-05,Oxford/AstraZeneca,1575
Argentina,2021-10-05,Pfizer/BioNTech,1576
Argentina,2021-10-05,Sinopharm/Beijing,1577
Argentina,2021-10-05,Sputnik V,1578
Argentina,2021-10-06,CanSino,1579
Argentina,2021-10-06,Moderna,1580
Argentina,2021-10-06,Oxford/AstraZeneca,1581
Argentina,2021-10-06,Pfizer/BioNTech,1582
Argentina,2021-10-06,Sinopharm/Beijing,1583
Argentina,2021-10-06,Sputnik V,1584
Argentina,2021-10-07,CanSino,1585
Argentina,2021-10-07,Moderna,1586
Argentina,2021-10-07,Oxford/AstraZeneca,1587
Argentina,2021-10-07,Pfizer/BioNTech,1588
Argentina,2021-10-07,Sinopharm/Beijing,1589
Argentina,2021-10-07,Sputnik V,1590
Argentina,2021-10-08,CanSino,1591
Argentina,2021-10-08,Moderna,1592
Argentina,2021-10-08,Oxford/AstraZeneca,1593
Argentina,2021-10-08,Pfizer/BioNTech,1594
Argentina,2021-10-08,Sinopharm/Beijing,1595
Argentina,2021-10-08,Sputnik V,1596
Argentina,2021-10-09,CanSino,1597
Argentina,2021-10-09,Moderna,1598
Argentina,2021-10-09,Oxford/AstraZeneca,1599
Argentina,2021-10-31,Pfizer/BioNTech,1732
Argentina,2022-02-03,Sputnik V,2304
Argentina,2022-02-04,CanSino,2305
Argentina,2022-02-04,Moderna,2306
Argentina,2022-02-04,Oxford/AstraZeneca,2307
Argentina,2022-02-04,Pfizer/BioNTech,2308
Argentina,2022-02-04,Sinopharm/Beijing,2309
Argentina,2022-02-04,Sputnik V,2310
Argentina,2022-02-05,CanSino,2311
Argentina,2022-02-05,Moderna,2312
Argentina,2022-02-05,Oxford/AstraZeneca,2313
Argentina,2022-02-05,Pfizer/BioNTech,2314
Argentina,2022-02-05,Sinopharm/Beijing,2315
Argentina,2022-02-05,Sputnik V,2316
Argentina,2022-02-06,CanSino,2317
Argentina,2022-02-06,Moderna,2318
Argentina,2022-02-06,Oxford/AstraZeneca,2319
Argentina,2022-02-06,Pfizer/BioNTech,2320
Argentina,2022-02-06,Sinopharm/Beijing,2321
Argentina,2022-02-06,Sputnik V,2322
Argentina,2022-02-07,CanSino,2323
Argentina,2022-02-07,Moderna,2324
Argentina,2022-02-07,Oxford/AstraZeneca,2325
Argentina,2022-02-07,Pfizer/BioNTech,2326
Argentina,2022-02-07,Sinopharm/Beijing,2327
Argentina,2022-02-07,Sputnik V,2328
Argentina,2022-02-08,CanSino,2329
Argentina,2022-02-08,Moderna,2330
Argentina,2022-02-08,Oxford/AstraZeneca,2331
Argentina,2022-02-08,Pfizer/BioNTech,2332
Argentina,2022-02-08,Sinopharm/Beijing,2333
Argentina,2022-02-08,Sputnik V,2334
Argentina,2022-02-09,CanSino,2335
Argentina,2022-02-09,Moderna,2336
Argentina,2022-02-09,Oxford/AstraZeneca,2337
Argentina,2022-02-09,Pfizer/BioNTech,2338
Argentina,2022-02-09,Sinopharm/Beijing,2339
Argentina,2022-02-09,Sputnik V,2340
Argentina,2022-02-10,CanSino,2341
Argentina,2022-02-10,Moderna,2342
Argentina,2022-02-10,Oxford/AstraZeneca,2343
Argentina,2022-02-10,Pfizer/BioNTech,2344
Argentina,2022-02-10,Sinopharm/Beijing,2345
Argentina,2022-02-10,Sputnik V,2346
Argentina,2022-02-11,CanSino,2347
Argentina,2022-02-11,Moderna,2348
Argentina,2022-02-11,Oxford/AstraZeneca,2349
Argentina,2022-02-11,Pfizer/BioNTech,2350
Argentina,2022-02-11,Sinopharm/Beijing,2351
Argentina,2022-02-11,Sputnik V,2352
Argentina,2022-02-12,CanSino,2353
Argentina,2022-02-12,Moderna,2354
Argentina,2022-02-12,Oxford/AstraZeneca,2355
Argentina,2022-02-12,Pfizer/BioNTech,2356
Argentina,2022-02-12,Sinopharm/Beijing,2357
Argentina,2022-02-12,Sputnik V,2358
Argentina,2022-02-13,CanSino,2359
Argentina,2022-02-13,Moderna,2360
Argentina,2022-02-13,Oxford/AstraZeneca,2361
Argentina,2022-02-13,Pfizer/BioNTech,2362
Argentina,2022-02-13,Sinopharm/Beijing,2363
Argentina,2022-02-13,Sputnik V,2364
Argentina,2022-02-14,CanSino,2365
Argentina,2022-02-14,Moderna,2366
Argentina,2022-02-14,Oxford/AstraZeneca,2367
Argentina,2022-02-14,Pfizer/BioNTech,2368
Argentina,2022-02-14,Sinopharm/Beijing,2369
Argentina,2022-02-14,Sputnik V,2370
Argentina,2022-02-15,CanSino,2371
Argentina,2022-02-15,Moderna,2372
Argentina,2022-02-15,Oxford/AstraZeneca,2373
Argentina,2022-02-15,Pfizer/BioNTech,2374
Argentina,2022-02-15,Sinopharm/Beijing,2375
Argentina,2022-02-15,Sputnik V,2376
Argentina,2022-02-16,CanSino,2377
Argentina,2022-02-16,Moderna,2378
Argentina,2022-02-16,Oxford/AstraZeneca,2379
Argentina,2022-02-16,Pfizer/BioNTech,2380
Argentina,2022-02-16,Sinopharm/Beijing,2381
Argentina,2022-02-16,Sputnik V,2382
Argentina,2022-02-17,CanSino,2383
Argentina,2022-02-17,Moderna,2384
Argentina,2022-02-17,Oxford/AstraZeneca,2385
Argentina,2022-02-17,Pfizer/BioNTech,2386
Argentina,2022-02-17,Sinopharm/Beijing,2387
Argentina,2022-02-17,Sputnik V,2388
Argentina,2022-02-18,CanSino,2389
Argentina,2022-02-18,Moderna,2390
Argentina,2022-02-18,Oxford/AstraZeneca,2391
Argentina,2022-02-18,Pfizer/BioNTech,2392
Argentina,2022-02-18,Sinopharm/Beijing,2393
Argentina,2022-02-18,Sputnik V,2394
Argentina,2022-02-19,CanSino,2395
Argentina,2022-02-19,Moderna,2396
Argentina,2022-02-19,Oxford/AstraZeneca,2397
Argentina,2022-02-19,Pfizer/BioNTech,2398
Argentina,2022-02-19,Sinopharm/Beijing,2399
Argentina,2022-02-19,Sputnik V,2400
Argentina,2022-02-20,CanSino,2401
Argentina,2022-02-20,Moderna,2402
Argentina,2022-02-20,Oxford/AstraZeneca,2403
Argentina,2022-02-20,Pfizer/BioNTech,2404
Argentina,2022-02-20,Sinopharm/Beijing,2405
Argentina,2022-02-20,Sputnik V,2406
Argentina,2022-02-21,CanSino,2407
Argentina,2022-02-21,Moderna,2408
Argentina,2022-02-21,Oxford/AstraZeneca,2409
Argentina,2022-02-21,Pfizer/BioNTech,2410
Argentina,2022-02-21,Sinopharm/Beijing,2411
Argentina,2022-02-21,Sputnik V,2412
Argentina,2022-02-22,CanSino,2413
Argentina,2022-02-22,Moderna,2414
Argentina,2022-02-22,Oxford/AstraZeneca,2415
Argentina,2022-02-22,Pfizer/BioNTech,2416
Argentina,2022-02-22,Sinopharm/Beijing,2417
Argentina,2022-02-22,Sputnik V,2418
Argentina,2022-02-23,CanSino,2419
Argentina,2022-02-23,Moderna,2420
Argentina,2022-02-23,Oxford/AstraZeneca,2421
Argentina,2022-02-23,Pfizer/BioNTech,2422
Argentina,2022-02-23,Sinopharm/Beijing,2423
Argentina,2022-02-23,Sputnik V,2424
Argentina,2022-02-24,CanSino,2425
Argentina,2022-02-24,Moderna,2426
Argentina,2022-02-24,Oxford/AstraZeneca,2427
Argentina,2022-02-24,Pfizer/BioNTech,2428
Argentina,2022-02-24,Sinopharm/Beijing,2429
Argentina,2022-02-24,Sputnik V,2430
Argentina,2022-02-25,CanSino,2431
Argentina,2022-02-25,Moderna,2432
Argentina,2022-02-25,Oxford/AstraZeneca,2433
Argentina,2022-02-25,Pfizer/BioNTech,2434
Argentina,2022-02-25,Sinopharm/Beijing,2435
Argentina,2022-02-25,Sputnik V,2436
Argentina,2022-02-26,CanSino,2437
Argentina,2022-02-26,Moderna,2438
Argentina,2022-02-26,Oxford/AstraZeneca,2439
Argentina,2022-02-26,Pfizer/BioNTech,2440
Argentina,2022-02-26,Sinopharm/Beijing,2441
Argentina,2022-02-26,Sputnik V,2442
Argentina,2022-02-27,CanSino,2443
Argentina,2022-02-27,Moderna,2444
Argentina,2022-02-27,Oxford/AstraZeneca,2445
Argentina,2022-03-23,Oxford/AstraZeneca,2589
Argentina,2022-03-23,Pfizer/BioNTech,2590
Argentina,2022-03-23,Sinopharm/Beijing,2591
Argentina,2022-03-23,Sputnik V,2592
Argentina,2022-03-24,CanSino,2593
Argentina,2022-03-24,Moderna,2594
Argentina,2022-03-24,Oxford/AstraZeneca,2595
Argentina,2022-03-24,Pfizer/BioNTech,2596
Argentina,2022-03-24,Sinopharm/Beijing,2597
Argentina,2022-03-24,Sputnik V,2598
Argentina,2022-03-25,CanSino,2599
Argentina,2022-03-25,Moderna,2600
Argentina,2022-03-25,Oxford/AstraZeneca,2601
Argentina,2022-03-25,Pfizer/BioNTech,2602
Argentina,2022-03-25,Sinopharm/Beijing,2603
Argentina,2022-03-25,Sputnik V,2604
Argentina,2022-03-26,CanSino,2605
Argentina,2022-03-26,Moderna,2606
Argentina,2022-03-26,Oxford/AstraZeneca,2607
Argentina,2022-03-26,Pfizer/BioNTech,2608
Argentina,2022-03-26,Sinopharm/Beijing,2609
Argentina,2022-03-26,Sputnik V,2610
Argentina,2022-03-27,CanSino,2611
Argentina,2022-03-27,Moderna,2612
Argentina,2022-03-27,Oxford/AstraZeneca,2613
Argentina,2022-03-27,Pfizer/BioNTech,2614
Argentina,2022-03-27,Sinopharm/Beijing,2615
Argentina,2022-03-27,Sputnik V,2616
Argentina,2022-03-28,CanSino,2617
Argentina,2022-03-28,Moderna,2618
Argentina,2022-03-28,Oxford/AstraZeneca,2619
Argentina,2022-03-28,Pfizer/BioNTech,2620
Argentina,2022-03-28,Sinopharm/Beijing,2621
Argentina,2022-03-28,Sputnik V,2622
Argentina,2022-03-29,CanSino,2623
Argentina,2022-03-29,Moderna,2624
Argentina,2022-03-29,Oxford/AstraZeneca,2625
Argentina,2022-03-29,Pfizer/BioNTech,2626
Argentina,2022-03-29,Sinopharm/Beijing,2627
Argentina,2022-03-29,Sputnik V,2628
Austria,2021-01-08,Johnson&Johnson,2629
Austria,2021-01-08,Moderna,2630
Austria,2021-01-08,Novavax,2631
Austria,2021-01-08,Oxford/AstraZeneca,2632
Austria,2021-01-08,Pfizer/BioNTech,2633
Austria,2021-01-15,Johnson&Johnson,2634
Austria,2021-01-15,Moderna,2635
Austria,2021-01-15,Novavax,2636
Austria,2021-01-15,Oxford/AstraZeneca,2637
Austria,2021-01-15,Pfizer/BioNTech,2638
Austria,2021-01-22,Johnson&Johnson,2639
Austria,2021-01-22,Moderna,2640
Austria,2021-01-22,Novavax,2641
Austria,2021-01-22,Oxford/AstraZeneca,2642
Austria,2021-01-22,Pfizer/BioNTech,2643
Austria,2021-01-29,Johnson&Johnson,2644
Austria,2021-01-29,Moderna,2645
Austria,2021-01-29,Novavax,2646
Austria,2021-01-29,Oxford/AstraZeneca,2647
Austria,2021-01-29,Pfizer/BioNTech,2648
Austria,2021-02-05,Johnson&Johnson,2649
Austria,2021-02-05,Moderna,2650
Austria,2021-02-05,Novavax,2651
Austria,2021-02-05,Oxford/AstraZeneca,2652
Austria,2021-02-05,Pfizer/BioNTech,2653
Austria,2021-02-12,Johnson&Johnson,2654
Austria,2021-02-12,Moderna,2655
Austria,2021-02-12,Novavax,2656
Austria,2021-02-12,Oxford/AstraZeneca,2657
Austria,2021-02-12,Pfizer/BioNTech,2658
Austria,2021-02-19,Johnson&Johnson,2659
Austria,2021-02-19,Moderna,2660
Austria,2021-02-19,Novavax,2661
Austria,2021-02-19,Oxford/AstraZeneca,2662
Austria,2021-02-19,Pfizer/BioNTech,2663
Austria,2021-02-26,Johnson&Johnson,2664
Austria,2021-02-26,Moderna,2665
Austria,2021-02-26,Novavax,2666
Austria,2021-02-26,Oxford/AstraZeneca,2667
Austria,2021-02-26,Pfizer/BioNTech,2668
Austria,2021-03-05,Johnson&Johnson,2669
Austria,2021-03-05,Moderna,2670
Austria,2021-03-05,Novavax,2671
Austria,2021-03-05,Oxford/AstraZeneca,2672
Austria,2021-03-05,Pfizer/BioNTech,2673
Austria,2021-03-12,Johnson&Johnson,2674
Austria,2021-03-12,Moderna,2675
Austria,2021-03-12,Novavax,2676
Austria,2021-03-12,Oxford/AstraZeneca,2677
Austria,2021-03-12,Pfizer/BioNTech,2678
Austria,2021-03-19,Johnson&Johnson,2679
Austria,2021-03-19,Moderna,2680
Austria,2021-03-19,Novavax,2681
Austria,2021-03-19,Oxford/AstraZeneca,2682
Austria,2021-03-19,Pfizer/BioNTech,2683
Austria,2021-03-26,Johnson&Johnson,2684
Austria,2021-03-26,Moderna,2685
Austria,2021-03-26,Novavax,2686
Austria,2021-03-26,Oxford/AstraZeneca,2687
Austria,2021-03-26,Pfizer/BioNTech,2688
Austria,2021-04-02,Johnson&Johnson,2689
Austria,2021-04-02,Moderna,2690
Austria,2021-04-02,Novavax,2691
Austria,2021-04-02,Oxford/AstraZeneca,2692
Austria,2021-04-02,Pfizer/BioNTech,2693
Austria,2021-04-09,Johnson&Johnson,2694
Austria,2021-04-09,Moderna,2695
Austria,2021-04-09,Novavax,2696
Austria,2021-04-09,Oxford/AstraZeneca,2697
Austria,2021-04-09,Pfizer/BioNTech,2698
Austria,2021-04-16,Johnson&Johnson,2699
Austria,2021-04-16,Moderna,2700
Austria,2021-04-16,Novavax,2701
Austria,2021-04-16,Oxford/AstraZeneca,2702
Austria,2021-04-16,Pfizer/BioNTech,2703
Austria,2021-04-23,Johnson&Johnson,2704
Austria,2021-04-23,Moderna,2705
Austria,2021-04-23,Novavax,2706
Austria,2021-04-23,Oxford/AstraZeneca,2707
Austria,2021-04-23,Pfizer/BioNTech,2708
Austria,2021-04-30,Johnson&Johnson,2709
Austria,2021-04-30,Moderna,2710
Austria,2021-04-30,Novavax,2711
Austria,2021-04-30,Oxford/AstraZeneca,2712
Austria,2021-04-30,Pfizer/BioNTech,2713
Austria,2021-05-07,Johnson&Johnson,2714
Austria,2021-05-07,Moderna,2715
Austria,2021-05-07,Novavax,2716
Austria,2021-05-07,Oxford/AstraZeneca,2717
Austria,2021-05-07,Pfizer/BioNTech,2718
Austria,2021-05-14,Johnson&Johnson,2719
Austria,2021-05-14,Moderna,2720
Austria,2021-05-14,Novavax,2721
Austria,2021-05-14,Oxford/AstraZeneca,2722
Austria,2021-05-14,Pfizer/BioNTech,2723
Austria,2021-05-21,Johnson&Johnson,2724
Austria,2021-05-21,Moderna,2725
Austria,2021-05-21,Novavax,2726
Austria,2021-05-21,Oxford/AstraZeneca,2727
Austria,2021-05-21,Pfizer/BioNTech,2728
Austria,2021-05-28,Johnson&Johnson,2729
Austria,2021-05-28,Moderna,2730
Austria,2021-05-28,Novavax,2731
Austria,2021-05-28,Oxford/AstraZeneca,2732
Austria,2021-05-28,Pfizer/BioNTech,2733
Austria,2021-06-04,Johnson&Johnson,2734
Argentina,2021-10-31,Sinopharm/Beijing,1733
Argentina,2021-10-31,Sputnik V,1734
Argentina,2021-11-01,CanSino,1735
Argentina,2021-11-01,Moderna,1736
Argentina,2021-11-01,Oxford/AstraZeneca,1737
Argentina,2021-11-01,Pfizer/BioNTech,1738
Argentina,2021-11-01,Sinopharm/Beijing,1739
Argentina,2021-11-01,Sputnik V,1740
Argentina,2021-11-02,CanSino,1741
Argentina,2021-11-02,Moderna,1742
Argentina,2021-11-02,Oxford/AstraZeneca,1743
Argentina,2021-11-02,Pfizer/BioNTech,1744
